country,street_name,gender,occupation_category
AT,Abbégasse,male,other
AT,Abelegasse,male,other
AT,Abermanngasse,male,other
AT,Abraham-a-Sancta-Clara-Gasse,male,other
AT,Abraham-a-Sancta-Clara-Straße,male,other
AT,Abt-Karl-Gasse,male,other
AT,Achamergasse,male,other
AT,Achardgasse,male,other
AT,Achtergasse,male,other
AT,Ada-Christen-Gasse,female,other
AT,Ada-Lovelace-Straße,female,other
AT,Adalbert-Stifter-Straße,male,other
AT,Adam-Betz-Gasse,male,other
AT,Adambergergasse,female,other
AT,Adamovichgasse,male,other
AT,Adamsgasse,male,other
AT,Adele-Jellinek-Promenade,female,other
AT,Adele-Worm-Weg,female,other
AT,Adelheid-Popp-Gasse,female,other
AT,Adolf-Amadeo-Gasse,male,other
AT,Adolf-Blamauer-Gasse,male,other
AT,Adolf-Czettel-Gasse,male,other
AT,Adolf-Gstöttner-Gasse,male,other
AT,Adolf-Kirchl-Gasse,male,other
AT,Adolf-Loos-Gasse,male,other
AT,Adolf-Loos-Weg,male,other
AT,Adolf-Lorenz-Gasse,male,other
AT,Adolf-Raupenstrauch-Gasse,male,other
AT,Adolf-Schmidl-Gasse,male,other
AT,Adolf-Unger-Gasse,male,other
AT,Adolf-Uthmann-Gasse,male,other
AT,Adrienne-Gessner-Gasse,female,other
AT,Afritschgasse,male,other
AT,Afritschweg,male,other
AT,Agnes-Primocic-Gasse,female,other
AT,Agnesgasse,female,other
AT,Agricolagasse,male,other
AT,Ahornergasse,male,other
AT,Aichbühelgasse,male,other
AT,Aichholzgasse,male,other
AT,Aignerstraße,male,other
AT,Ailecgasse,male,other
AT,Aladar-Pecht-Gasse,male,other
AT,Alban-Berg-Weg,male,other
AT,Alberichgasse,male,other
AT,Albert-Schweitzer-Gasse,male,other
AT,Albertgasse,male,other
AT,Albertplatz,male,other
AT,Albin-Hirsch-Platz,male,other
AT,Albrechtsbergergasse,male,other
AT,Alexander-Mell-Gasse,male,other
AT,Alexander-Nehr-Gasse,male,other
AT,Alexander-Poch-Platz,male,other
AT,Alfons-Mucha-Weg,male,other
AT,Alfons-Petzold-Gasse,male,other
AT,Alfred-Adler-Straße,male,other
AT,Alfred-Dallinger-Platz,male,other
AT,Alfred-Grünfeld-Gasse,male,other
AT,Alfred-Huth-Gasse,male,other
AT,Alfred-Kubin-Platz,male,other
AT,Alfred-Nobel-Straße,male,other
AT,Alfred-Pischof-Gasse,male,other
AT,Alfred-Polzer-Weg,male,other
AT,Alfred-Stix-Platz,male,other
AT,Alfred-Wegener-Gasse,male,other
AT,Alliogasse,male,other
AT,Alma-König-Weg,female,other
AT,Alma-Rosé-Gasse,female,other
AT,Alma-Seidler-Weg,female,other
AT,Alois-Behr-Straße,male,other
AT,Alois-Czedik-Gasse,male,other
AT,Alois-Czedik-Steg,male,other
AT,Alois-Dachs-Gasse,male,other
AT,Alois-Drasche-Park,male,other
AT,Alois-Eyermann-Weg,male,other
AT,Alois-Grandl-Weg,male,other
AT,Alois-Höfler-Gasse,male,other
AT,Alois-Kraus-Promenade,male,other
AT,Alois-Mock-Gasse,male,other
AT,Alois-Negrelli-Gasse,male,other
AT,Aloisgasse,male,other
AT,Altdorferstraße,male,other
AT,Alte Napoleonstraße,male,other
AT,Alter Wiener Weg,male,other
AT,Althanstraße,male,other
AT,Althoff-Jacobi-Gasse,female,other
AT,Altmüttergasse,male,other
AT,Altomontegasse,male,other
AT,Altwirthgasse,female,other
AT,Alvarsgasse,male,other
AT,Alxingergasse,male,other
AT,Amalie-Seidel-Weg,female,other
AT,Amalienstraße,female,other
AT,Ambergergasse,male,other
AT,Ambrosigasse,male,other
AT,Ambrosweg,male,other
AT,Amerlingstraße,male,other
AT,Amongasse,male,other
AT,Amortgasse,male,other
AT,Ampèregasse,male,other
AT,Ampferergasse,male,other
AT,Amstergasse,male,other
AT,Amundsenstraße,male,other
AT,Anastasius-Grün-Gasse,male,other
AT,Anatourgasse,female,other
AT,Andayweg,female,other
AT,Andergasse,male,other
AT,Anders-Zorn-Weg,male,other
AT,Andersengasse,male,other
AT,Andreas-Hofer-Straße,male,other
AT,Andreas-Huger-Gasse,male,other
AT,Andreas-Lechner-Straße,male,other
AT,Andreas-Morth-Weg,male,other
AT,Andreas-Urteil-Weg,male,other
AT,Angela-Stadtherr-Gasse,female,other
AT,Angeligasse,male,other
AT,Angelo-Soliman-Weg,male,other
AT,Angerer Straße,male,other
AT,Angergasse,male,other
AT,Angermayergasse,male,other
